Obs,carat,color,clarity,cut,channel,store,price
239,1.01,6,5,0,2,11,4870
107,2.04,5,5,0,1,1,23000
36,1.01,5,5,1,0,4,8699
178,0.72,4,5,1,2,10,3308
412,1.82,4,5,0,2,11,17270
319,1,3,5,0,2,10,7296
28,1.02,3,5,0,0,3,5999
109,0.35,6,1,1,2,10,893
265,1.02,6,1,0,2,11,5570
315,1.04,5,1,1,2,10,7150
335,1.17,5,1,1,2,10,8089
138,0.63,5,1,0,2,11,2050
154,0.63,5,1,0,2,11,2480
127,0.38,4,1,0,2,10,1441
325,1,4,1,0,2,10,7427
159,0.59,4,1,0,2,11,2600
405,1.01,1,1,1,2,10,15909
336,1.17,4,1,1,2,10,8089
111,0.41,6,2,0,2,10,930
365,1.5,6,2,0,2,11,10050
156,0.62,5,2,1,2,11,2520
196,0.74,5,2,1,2,11,3500
327,1,4,2,0,2,10,7522
189,0.71,4,2,0,2,11,3460
65,0.61,4,2,1,1,9,3750
174,0.61,3,2,1,2,10,3147
393,1.43,3,2,1,2,10,13128
166,0.59,2,2,0,2,11,2680
417,1.9,4,2,1,2,10,19488
349,1.52,7,3,0,2,10,8676
356,1.5,7,3,0,2,11,8760
395,2.13,7,3,0,2,11,13680
272,1.11,6,3,0,2,10,5889
294,1.24,6,3,0,2,10,6358
303,1.2,6,3,1,2,10,7013
165,0.73,6,3,0,2,11,2680
61,0.59,6,3,0,1,6,1770
175,0.72,5,3,1,2,10,3240
186,0.72,5,3,1,2,10,3430
187,0.72,5,3,1,2,10,3430
277,1.03,5,3,0,2,10,5995
299,1.02,5,3,0,2,10,6580
383,1.5,5,3,0,2,10,11441
360,1.31,5,3,0,2,11,8780
389,1.59,5,3,1,2,11,11890
402,1.72,5,3,0,2,11,13820
69,0.71,5,3,1,1,9,4200
117,0.35,4,3,1,2,10,1078
326,1.04,4,3,1,2,10,7475
328,1.04,4,3,1,2,10,7542
329,1.04,4,3,1,2,10,7542
344,1.21,4,3,0,2,10,8526
345,1.17,4,3,1,2,10,8533
350,1.21,4,3,0,2,10,8683
420,2,4,3,0,2,10,21545
132,0.56,4,3,0,2,11,2010
192,0.75,4,3,0,2,11,3490
355,1.2,4,3,0,2,11,8740
359,1.21,4,3,1,2,11,8770
400,1.54,4,3,0,2,11,13760
169,0.62,3,3,1,2,10,3080
318,1,3,3,0,2,10,7296
330,1,3,3,0,2,10,7710
419,1.93,3,3,0,2,10,19997
195,0.72,3,3,0,2,11,3490
91,0.66,3,3,1,1,1,6100
211,0.73,2,3,0,2,10,4215
424,2,2,3,0,2,10,26623
322,1,4,3,0,2,10,7365
110,0.38,6,4,1,2,10,902
112,0.4,6,4,1,2,10,949
128,0.54,6,4,1,2,10,1536
155,0.71,6,4,0,2,10,2504
160,0.71,6,4,0,2,10,2611
292,1.21,6,4,1,2,10,6296
296,1.21,6,4,1,2,10,6493
297,1.26,6,4,0,2,10,6494
301,1.21,6,4,1,2,10,6826
404,2,6,4,0,2,10,14504
238,1.02,6,4,0,2,11,4870
266,1.1,6,4,1,2,11,5590
308,1.24,6,4,1,2,11,7080
364,1.52,6,4,0,2,11,10040
392,1.7,6,4,0,2,11,11930
399,2.01,6,4,0,2,11,13740
75,0.95,6,4,0,1,6,4560
30,1.03,6,4,0,0,7,6299
32,0.98,6,4,0,0,7,6659
115,0.38,5,4,1,2,10,1025
291,1.02,5,4,0,2,10,6292
324,1.24,5,4,0,2,10,7404
377,1.51,5,4,0,2,10,10697
289,1.07,5,4,0,2,11,6200
353,1.36,5,4,0,2,11,8710
390,1.62,5,4,0,2,11,11910
391,1.62,5,4,0,2,11,11910
407,2.01,5,4,0,2,11,17010
114,0.36,4,4,1,2,10,998
122,0.37,4,4,1,2,10,1109
129,0.51,4,4,1,2,10,1985
157,0.64,4,4,1,2,10,2524
179,0.72,4,4,1,2,10,3318
183,0.77,4,4,0,2,10,3348
199,0.72,4,4,1,2,10,3648
137,0.58,4,4,0,2,11,2050
190,0.72,4,4,1,2,11,3470
313,1.12,4,4,0,2,11,7120
81,1.14,4,4,0,1,2,5472
64,0.54,4,4,0,1,9,2230
118,0.35,3,4,1,2,10,1078
123,0.36,3,4,1,2,10,1109
140,0.5,3,4,1,2,10,2093
346,1.18,3,4,1,2,10,8566
361,1.18,3,4,1,2,10,8876
421,2,3,4,0,2,10,21933
423,2,3,4,0,2,10,22706
134,0.55,3,4,0,2,11,2020
194,0.7,3,4,0,2,11,3490
124,0.35,2,4,1,2,10,1243
125,0.4,2,4,0,2,10,1271
145,0.5,2,4,1,2,10,2213
146,0.5,2,4,1,2,10,2233
150,0.54,2,4,0,2,10,2302
